Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1010,1,Survey of Art & Arch History I,0.31,0.44,0.23,0.02,0.0,0.0,0.0,0.01,beth ann lauritis,,AAH-1010,2016
AAH,2050,1,Art History and Theory I,0.88,0.06,0.0,0.0,0.0,0.0,0.0,0.06,beth ann lauritis,,AAH-2050,2016
ACCT,2010,1,Financial Accounting Concepts,0.03,0.25,0.35,0.15,0.08,0.0,0.0,0.15,philip maiberger,,ACCT-2010,2016
ACCT,2010,2,Financial Accounting Concepts,0.18,0.38,0.28,0.05,0.03,0.0,0.0,0.08,philip maiberger,,ACCT-2010,2016
ACCT,2010,3,Financial Accounting Concepts,0.24,0.44,0.2,0.04,0.04,0.0,0.0,0.04,lydia lan schleifer,,ACCT-2010,2016
ACCT,2010,4,Financial Accounting Concepts,0.2,0.33,0.2,0.1,0.08,0.0,0.0,0.1,annieka philo,,ACCT-2010,2016
ACCT,2010,5,Financial Accounting Concepts,0.24,0.43,0.2,0.06,0.04,0.0,0.0,0.02,lydia lan schleifer,,ACCT-2010,2016
ACCT,2010,6,Financial Accounting Concepts,0.12,0.52,0.21,0.03,0.09,0.0,0.0,0.03,the estate  guffey,,ACCT-2010,2016
ACCT,2010,7,Financial Accounting Concepts,0.26,0.36,0.16,0.08,0.04,0.0,0.0,0.1,annieka philo,,ACCT-2010,2016
ACCT,2010,9,Financial Accounting Concepts,0.32,0.15,0.23,0.04,0.11,0.0,0.0,0.15,lydia lan schleifer,,ACCT-2010,2016
ACCT,2010,10,Financial Accounting Concepts,0.17,0.26,0.26,0.13,0.11,0.0,0.0,0.07,lydia lan schleifer,,ACCT-2010,2016
ACCT,2010,11,Financial Accounting Concepts,0.13,0.33,0.29,0.06,0.1,0.0,0.0,0.08,annieka philo,,ACCT-2010,2016
ACCT,2010,12,Financial Accounting Concepts,0.07,0.29,0.29,0.09,0.16,0.0,0.0,0.11,annieka philo,,ACCT-2010,2016
ACCT,2010,13,Financial Accounting Concepts,0.09,0.33,0.24,0.04,0.04,0.0,0.0,0.24,mary ann  prater,,ACCT-2010,2016
ACCT,2010,14,Financial Accounting Concepts,0.19,0.19,0.14,0.07,0.12,0.0,0.0,0.29,mary ann  prater,,ACCT-2010,2016
ACCT,2010,15,Financial Accounting Concepts,0.15,0.33,0.11,0.19,0.15,0.0,0.0,0.07,charles tegen,,ACCT-2010,2016
ACCT,2010,100,Fin Accounting Concepts (HON),0.79,0.14,0.0,0.0,0.0,0.0,0.0,0.07,the estate  guffey,True,ACCT-2010,2016
ACCT,2010,101,Fin Accounting Concepts (HON),0.82,0.18,0.0,0.0,0.0,0.0,0.0,0.0,the estate  guffey,True,ACCT-2010,2016
ACCT,2010,400,Financial Accounting Concepts,0.23,0.35,0.16,0.05,0.1,0.0,0.0,0.11,jeffrey mcmillan,,ACCT-2010,2016
ACCT,2020,1,Managerial Accounting Concepts,0.15,0.27,0.33,0.12,0.06,0.0,0.0,0.06,henry anderson,,ACCT-2020,2016
ACCT,2020,2,Managerial Accounting Concepts,0.19,0.21,0.17,0.17,0.1,0.0,0.0,0.17,henry anderson,,ACCT-2020,2016
ACCT,2020,3,Managerial Accounting Concepts,0.44,0.24,0.2,0.06,0.03,0.0,0.0,0.03,sarah martin,,ACCT-2020,2016
ACCT,2020,4,Managerial Accounting Concepts,0.18,0.32,0.2,0.08,0.08,0.0,0.0,0.14,the estate  guffey,,ACCT-2020,2016
ACCT,2020,5,Managerial Accounting Concepts,0.1,0.45,0.19,0.06,0.1,0.0,0.0,0.1,brian todd carver,,ACCT-2020,2016
ACCT,2020,7,Managerial Accounting Concepts,0.23,0.42,0.23,0.07,0.02,0.0,0.0,0.02,derek dalton,,ACCT-2020,2016
ACCT,2020,8,Managerial Accounting Concepts,0.23,0.34,0.32,0.07,0.02,0.0,0.0,0.02,nancy lee harp,,ACCT-2020,2016
ACCT,2020,400,Managerial Accounting Concepts,0.12,0.24,0.25,0.1,0.06,0.0,0.0,0.24,henry anderson,,ACCT-2020,2016
ACCT,3030,1,Cost Accounting,0.35,0.4,0.17,0.04,0.04,0.0,0.0,0.0,robin radtke,,ACCT-3030,2016
ACCT,3030,2,Cost Accounting,0.4,0.36,0.14,0.05,0.02,0.0,0.0,0.02,robin radtke,,ACCT-3030,2016
ACCT,3030,3,Cost Accounting,0.44,0.23,0.17,0.02,0.06,0.0,0.0,0.08,jace garrett,,ACCT-3030,2016
ACCT,3030,4,Cost Accounting,0.31,0.31,0.12,0.12,0.0,0.0,0.0,0.15,jace garrett,,ACCT-3030,2016
ACCT,3110,1,Intermediate Financial Acct I,0.41,0.32,0.08,0.08,0.08,0.0,0.0,0.03,terry daniel knause,,ACCT-3110,2016
ACCT,3110,2,Intermediate Financial Acct I,0.41,0.24,0.15,0.05,0.02,0.0,0.0,0.12,terry daniel knause,,ACCT-3110,2016
ACCT,3110,3,Intermediate Financial Acct I,0.39,0.24,0.24,0.06,0.03,0.0,0.0,0.03,terry daniel knause,,ACCT-3110,2016
ACCT,3110,4,Intermediate Financial Acct I,0.31,0.45,0.21,0.02,0.0,0.0,0.0,0.0,terry daniel knause,,ACCT-3110,2016
ACCT,3110,5,Intermediate Financial Acct I,0.26,0.16,0.21,0.03,0.26,0.0,0.0,0.08,henry anderson,,ACCT-3110,2016
ACCT,3110,400,Intermediate Financial Acct I,0.16,0.24,0.12,0.04,0.28,0.0,0.0,0.16,henry anderson,,ACCT-3110,2016
ACCT,3120,1,Intermediate Financial Acct II,0.06,0.31,0.29,0.2,0.06,0.0,0.0,0.09,brian todd carver,,ACCT-3120,2016
ACCT,3120,2,Intermediate Financial Acct II,0.21,0.31,0.23,0.18,0.05,0.0,0.0,0.03,brian todd carver,,ACCT-3120,2016
ACCT,3120,3,Intermediate Financial Acct II,0.08,0.49,0.26,0.13,0.03,0.0,0.0,0.03,jeremy micha vinson,,ACCT-3120,2016
ACCT,3120,4,Intermediate Financial Acct II,0.35,0.28,0.23,0.1,0.05,0.0,0.0,0.0,jeremy micha vinson,,ACCT-3120,2016
ACCT,3120,5,Intermediate Financial Acct II,0.13,0.58,0.24,0.0,0.0,0.0,0.0,0.05,jeremy micha vinson,,ACCT-3120,2016
ACCT,3130,1,Intermediate Fin Acct III,0.31,0.47,0.14,0.0,0.06,0.0,0.0,0.03, russell madray,,ACCT-3130,2016
ACCT,3130,2,Intermediate Fin Acct III,0.63,0.21,0.12,0.02,0.0,0.0,0.0,0.02, russell madray,,ACCT-3130,2016
ACCT,3130,3,Intermediate Fin Acct III,0.52,0.33,0.12,0.0,0.02,0.0,0.0,0.0, russell madray,,ACCT-3130,2016
ACCT,3130,4,Intermediate Fin Acct III,0.56,0.34,0.05,0.0,0.05,0.0,0.0,0.0, russell madray,,ACCT-3130,2016
ACCT,3220,2,Accounting Information Systems,0.23,0.5,0.19,0.04,0.04,0.0,0.0,0.0,nancy lee harp,,ACCT-3220,2016
ACCT,3220,3,Accounting Information Systems,0.12,0.38,0.24,0.14,0.05,0.0,0.0,0.07,nancy lee harp,,ACCT-3220,2016
ACCT,4040,1,Individual Taxation,0.74,0.12,0.03,0.06,0.06,0.0,0.0,0.0,sarah martin,,ACCT-4040,2016
ACCT,4040,2,Individual Taxation,0.82,0.08,0.05,0.05,0.0,0.0,0.0,0.0,sarah martin,,ACCT-4040,2016
ACCT,4040,3,Individual Taxation,0.21,0.44,0.26,0.05,0.0,0.0,0.0,0.05,derek dalton,,ACCT-4040,2016
ACCT,4080,1,Retire & Estate Plan,0.27,0.5,0.18,0.0,0.05,0.0,0.0,0.0,john hine,,ACCT-4080,2016
ACCT,4100,1,Reporting and Mgmt Control Sys,0.31,0.44,0.21,0.03,0.03,0.0,0.0,0.0,sally kathr widener,,ACCT-4100,2016
ACCT,4100,2,Reporting and Mgmt Control Sys,0.08,0.44,0.32,0.04,0.04,0.0,0.0,0.08,sally kathr widener,,ACCT-4100,2016
ACCT,4150,1,Auditing,0.52,0.28,0.2,0.0,0.0,0.0,0.0,0.0,carl hollingsworth,,ACCT-4150,2016
ACCT,4150,2,Auditing,0.06,0.44,0.38,0.06,0.0,0.0,0.0,0.06,carl hollingsworth,,ACCT-4150,2016
ACCT,8510,1,Tax Research,0.53,0.47,0.0,0.0,0.0,0.0,0.0,0.0,thomas dickens,,ACCT-8510,2016
ACCT,8510,2,Tax Research,0.22,0.68,0.08,0.0,0.0,0.0,0.0,0.03,thomas dickens,,ACCT-8510,2016
ACCT,8510,3,Tax Research,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0,thomas dickens,,ACCT-8510,2016
ACCT,8530,1,Adv Acct Problems,0.56,0.38,0.03,0.0,0.0,0.0,0.0,0.03,ralph welton,,ACCT-8530,2016
ACCT,8530,2,Adv Acct Problems,0.64,0.28,0.08,0.0,0.0,0.0,0.0,0.0,ralph welton,,ACCT-8530,2016
