Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1020,1,Survey of Art & Arch Hist II,0.4,0.4,0.17,0.0,0.01,0.0,0.0,0.01,andrea feeser,,AAH-1020,2018
AAH,2060,1,Art History and Theory II,0.83,0.17,0.0,0.0,0.0,0.0,0.0,0.0,andrea feeser,,AAH-2060,2018
ACCT,2010,1,Financial Accounting Concepts,0.13,0.31,0.29,0.1,0.17,0.0,0.0,0.0,emily suzan mccorkle,,ACCT-2010,2018
ACCT,2010,2,Financial Accounting Concepts,0.33,0.38,0.16,0.04,0.07,0.0,0.0,0.02,lydia lanc schleifer,,ACCT-2010,2018
ACCT,2010,3,Financial Accounting Concepts,0.28,0.22,0.34,0.08,0.08,0.0,0.0,0.0,annieka philo,,ACCT-2010,2018
ACCT,2010,4,Financial Accounting Concepts,0.4,0.28,0.14,0.1,0.04,0.0,0.0,0.04,emily suzan mccorkle,,ACCT-2010,2018
ACCT,2010,5,Financial Accounting Concepts,0.41,0.31,0.18,0.02,0.04,0.0,0.0,0.04,annieka philo,,ACCT-2010,2018
ACCT,2010,6,Financial Accounting Concepts,0.43,0.31,0.1,0.02,0.06,0.0,0.0,0.08,lydia lanc schleifer,,ACCT-2010,2018
ACCT,2010,7,Financial Accounting Concepts,0.31,0.52,0.04,0.02,0.08,0.0,0.0,0.02,lydia lanc schleifer,,ACCT-2010,2018
ACCT,2010,8,Financial Accounting Concepts,0.37,0.35,0.16,0.04,0.04,0.0,0.0,0.04,emily suzan mccorkle,,ACCT-2010,2018
ACCT,2010,9,Financial Accounting Concepts,0.3,0.32,0.22,0.04,0.1,0.0,0.0,0.02,emily suzan mccorkle,,ACCT-2010,2018
ACCT,2010,10,Financial Accounting Concepts,0.18,0.36,0.24,0.12,0.08,0.0,0.0,0.02,james barnes,,ACCT-2010,2018
ACCT,2010,11,Financial Accounting Concepts,0.3,0.36,0.2,0.06,0.08,0.0,0.0,0.0,rebecca pennell trax,,ACCT-2010,2018
ACCT,2010,12,Financial Accounting Concepts,0.37,0.31,0.18,0.06,0.04,0.0,0.0,0.04,rebecca pennell trax,,ACCT-2010,2018
ACCT,2010,13,Financial Accounting Concepts,0.49,0.24,0.1,0.07,0.05,0.0,0.0,0.05,charles tegen,,ACCT-2010,2018
ACCT,2010,14,Financial Accounting Concepts,0.29,0.29,0.32,0.03,0.06,0.0,0.0,0.0,philip maiberger,,ACCT-2010,2018
ACCT,2010,15,Financial Accounting Concepts,0.24,0.43,0.14,0.1,0.05,0.0,0.0,0.05,lisa whea birtwistle,,ACCT-2010,2018
ACCT,2010,16,Financial Accounting Concepts,0.12,0.38,0.22,0.08,0.16,0.0,0.0,0.04,james barnes,,ACCT-2010,2018
ACCT,2010,101,Fin Acct Concepts (HON),0.83,0.17,0.0,0.0,0.0,0.0,0.0,0.0,lisa whea birtwistle,True,ACCT-2010,2018
ACCT,2010,401,Financial Accounting Concepts,0.31,0.48,0.1,0.08,0.01,0.0,0.0,0.02,jeffrey mcmillan,,ACCT-2010,2018
ACCT,2020,1,Managerial Accounting Concepts,0.17,0.34,0.17,0.03,0.06,0.0,0.0,0.23,henry anderson,,ACCT-2020,2018
ACCT,2020,2,Managerial Accounting Concepts,0.19,0.28,0.17,0.02,0.02,0.0,0.0,0.33,henry anderson,,ACCT-2020,2018
ACCT,2020,3,Managerial Accounting Concepts,0.27,0.29,0.22,0.14,0.06,0.0,0.0,0.02,phebian davis-culler,,ACCT-2020,2018
ACCT,2020,4,Managerial Accounting Concepts,0.42,0.33,0.19,0.04,0.02,0.0,0.0,0.0,james milt kohlmeyer,,ACCT-2020,2018
ACCT,2020,5,Managerial Accounting Concepts,0.22,0.33,0.13,0.04,0.07,0.0,0.0,0.2,henry anderson,,ACCT-2020,2018
ACCT,2020,6,Managerial Accounting Concepts,0.29,0.29,0.21,0.09,0.04,0.0,0.0,0.09,brian todd carver,,ACCT-2020,2018
ACCT,2020,7,Managerial Accounting Concepts,0.15,0.31,0.27,0.0,0.17,0.0,0.0,0.1,brian todd carver,,ACCT-2020,2018
