Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1010,1,Survey of Art & Arch History I,0.42,0.45,0.11,0.01,0.01,0.0,0.0,0.0,beth ann lauritis,,AAH-1010,2018
AAH,2050,1,Art History and Theory I,0.73,0.2,0.0,0.0,0.0,0.0,0.0,0.07,beth ann lauritis,,AAH-2050,2018
AAH,3050,1,Contemporary Art History,0.76,0.24,0.0,0.0,0.0,0.0,0.0,0.0,andrea feeser,,AAH-3050,2018
ACCT,2010,1,Financial Accounting Concepts,0.09,0.36,0.27,0.02,0.09,0.0,0.0,0.18,lydia lanc schleifer,,ACCT-2010,2018
ACCT,2010,2,Financial Accounting Concepts,0.28,0.23,0.23,0.13,0.04,0.0,0.0,0.09,emily suzan mccorkle,,ACCT-2010,2018
ACCT,2010,3,Financial Accounting Concepts,0.33,0.48,0.13,0.08,0.0,0.0,0.0,0.0,emily suzan mccorkle,,ACCT-2010,2018
ACCT,2010,4,Financial Accounting Concepts,0.36,0.28,0.21,0.04,0.09,0.0,0.0,0.02,annieka philo,,ACCT-2010,2018
ACCT,2010,5,Financial Accounting Concepts,0.33,0.23,0.19,0.02,0.13,0.0,0.0,0.1,lydia lanc schleifer,,ACCT-2010,2018
ACCT,2010,6,Financial Accounting Concepts,0.24,0.26,0.29,0.07,0.1,0.0,0.0,0.05,annieka philo,,ACCT-2010,2018
ACCT,2010,7,Financial Accounting Concepts,0.17,0.4,0.19,0.07,0.05,0.0,0.0,0.12,emily suzan mccorkle,,ACCT-2010,2018
ACCT,2010,8,Financial Accounting Concepts,0.21,0.35,0.19,0.1,0.04,0.0,0.0,0.1,lydia lanc schleifer,,ACCT-2010,2018
ACCT,2010,9,Financial Accounting Concepts,0.26,0.41,0.21,0.08,0.0,0.0,0.0,0.05,annieka philo,,ACCT-2010,2018
ACCT,2010,10,Financial Accounting Concepts,0.3,0.25,0.23,0.05,0.18,0.0,0.0,0.0,emily suzan mccorkle,,ACCT-2010,2018
ACCT,2010,11,Financial Accounting Concepts,0.16,0.42,0.16,0.05,0.11,0.0,0.0,0.11,charles tegen,,ACCT-2010,2018
ACCT,2010,12,Financial Accounting Concepts,0.26,0.24,0.29,0.08,0.03,0.0,0.0,0.11,philip maiberger,,ACCT-2010,2018
ACCT,2010,13,Financial Accounting Concepts,0.23,0.28,0.36,0.05,0.05,0.0,0.0,0.03,lisa whea birtwistle,,ACCT-2010,2018
ACCT,2010,14,Financial Accounting Concepts,0.37,0.37,0.17,0.07,0.0,0.0,0.0,0.02,lisa whea birtwistle,,ACCT-2010,2018
ACCT,2010,100,Fin Accounting Concepts (HON),0.88,0.06,0.06,0.0,0.0,0.0,0.0,0.0,lisa whea birtwistle,True,ACCT-2010,2018
ACCT,2010,400,Financial Accounting Concepts,0.19,0.43,0.16,0.09,0.07,0.0,0.0,0.06,jeffrey mcmillan,,ACCT-2010,2018
ACCT,2020,1,Managerial Accounting Concepts,0.14,0.2,0.37,0.03,0.09,0.0,0.0,0.17,henry anderson,,ACCT-2020,2018
ACCT,2020,2,Managerial Accounting Concepts,0.25,0.45,0.14,0.05,0.02,0.0,0.0,0.09,henry anderson,,ACCT-2020,2018
ACCT,2020,3,Managerial Accounting Concepts,0.36,0.24,0.18,0.0,0.09,0.0,0.0,0.13,henry anderson,,ACCT-2020,2018
ACCT,2020,4,Managerial Accounting Concepts,0.19,0.35,0.16,0.22,0.0,0.0,0.0,0.08,brian todd carver,,ACCT-2020,2018
ACCT,2020,5,Managerial Accounting Concepts,0.24,0.22,0.2,0.07,0.18,0.0,0.0,0.09,brian todd carver,,ACCT-2020,2018
ACCT,2020,6,Managerial Accounting Concepts,0.11,0.3,0.27,0.09,0.02,0.0,0.0,0.2,brian todd carver,,ACCT-2020,2018
ACCT,2020,7,Managerial Accounting Concepts,0.25,0.29,0.33,0.04,0.02,0.0,0.0,0.06,phebian davis-culler,,ACCT-2020,2018
ACCT,2020,400,Managerial Accounting Concepts,0.25,0.36,0.2,0.09,0.04,0.0,0.0,0.06,henry anderson,,ACCT-2020,2018
ACCT,3030,3,Cost Accounting,0.45,0.37,0.08,0.0,0.08,0.0,0.0,0.02,phebian davis-culler,,ACCT-3030,2018
