Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1020,1,Survey of Art & Arch Hist II,0.91,0.07,0.01,0.0,0.0,0.0,0.0,0.01,andrea feeser,,AAH-1020,2016
AAH,2060,1,Art History and Theory II,0.9,0.07,0.0,0.0,0.0,0.0,0.0,0.03,andrea feeser,,AAH-2060,2016
AAH,6320,1,Twentieth Century Art II,0.71,0.14,0.14,0.0,0.0,0.0,0.0,0.0,beth ann lauritis,,AAH-6320,2016
ACCT,2010,1,Financial Accounting Concepts,0.19,0.3,0.32,0.06,0.09,0.0,0.0,0.04,lydia lan schleifer,,ACCT-2010,2016
ACCT,2010,2,Financial Accounting Concepts,0.35,0.39,0.14,0.03,0.08,0.0,0.0,0.01,holly rhiannio hawk,,ACCT-2010,2016
ACCT,2010,3,Financial Accounting Concepts,0.19,0.24,0.21,0.14,0.1,0.0,0.0,0.12,philip maiberger,,ACCT-2010,2016
ACCT,2010,4,Financial Accounting Concepts,0.25,0.24,0.28,0.08,0.06,0.0,0.0,0.08,holly rhiannio hawk,,ACCT-2010,2016
ACCT,2010,5,Financial Accounting Concepts,0.3,0.3,0.25,0.05,0.05,0.0,0.0,0.05,lydia lan schleifer,,ACCT-2010,2016
ACCT,2010,6,Financial Accounting Concepts,0.26,0.26,0.24,0.05,0.07,0.0,0.0,0.12,lydia lan schleifer,,ACCT-2010,2016
ACCT,2010,7,Financial Accounting Concepts,0.11,0.25,0.25,0.07,0.21,0.0,0.0,0.12,tonya dionne smalls,,ACCT-2010,2016
ACCT,2010,8,Financial Accounting Concepts,0.35,0.3,0.09,0.07,0.05,0.0,0.0,0.14,mary ann  prater,,ACCT-2010,2016
ACCT,2010,9,Financial Accounting Concepts,0.15,0.27,0.31,0.07,0.02,0.0,0.0,0.18,henry anderson,,ACCT-2010,2016
ACCT,2010,10,Financial Accounting Concepts,0.27,0.32,0.02,0.07,0.05,0.0,0.0,0.27,mary ann  prater,,ACCT-2010,2016
ACCT,2010,11,Financial Accounting Concepts,0.11,0.11,0.32,0.11,0.25,0.0,0.0,0.09,henry anderson,,ACCT-2010,2016
ACCT,2010,12,Financial Accounting Concepts,0.14,0.37,0.19,0.11,0.14,0.0,0.0,0.05,tonya dionne smalls,,ACCT-2010,2016
ACCT,2010,401,Financial Accounting Concepts,0.14,0.43,0.24,0.08,0.04,0.0,0.0,0.07,jeffrey mcmillan,,ACCT-2010,2016
